Date,Open,Fiat Increment,Token Recieved,Cumulative Fiat Invested,Cumulative Tokens,Staking Increment,Cum Staking Returns,Cumulative Tokens (Staked),Cumulative Fiat Value,Cumulative Fiat Value (Staked),Date,P/L
2016-01-14,432.2879943847656,136.986301369863,0.3168866661791581,136.986301369863,0.3168866661791581,0.0,1.0,0.3168866661791581,136.986301369863,136.986301369863,2016-01-14,0.0
2016-01-15,430.2550048828125,0.0,0.0,136.986301369863,0.3168866661791581,0.0,1.0,0.3168866661791581,136.34207410421186,136.34207410421186,2016-01-15,-0.47028590392534203
2016-01-16,365.072998046875,0.0,0.0,136.986301369863,0.3168866661791581,0.0,1.0,0.3168866661791581,115.68676526310452,115.68676526310452,2016-01-16,-15.548661357933701
2016-01-17,387.1520080566406,0.0,0.0,136.986301369863,0.3168866661791581,0.0,1.0,0.3168866661791581,122.6833091376354,122.6833091376354,2016-01-17,-10.441184329526154
2016-01-18,381.7330017089844,0.0,0.0,136.986301369863,0.3168866661791581,0.0,1.0,0.3168866661791581,120.96609828212293,120.96609828212293,2016-01-18,-11.694748254050262
2016-01-19,387.0260009765625,0.0,0.0,136.986301369863,0.3168866661791581,0.0,1.0,0.3168866661791581,122.64337917411449,122.64337917411449,2016-01-19,-10.470333202896425
2016-01-20,379.739990234375,0.0,0.0,136.986301369863,0.3168866661791581,0.0,1.0,0.3168866661791581,120.33453952027715,120.33453952027715,2016-01-20,-12.155786150197683
2016-01-21,419.6319885253906,0.0,0.0,136.986301369863,0.3168866661791581,0.0,1.0,0.3168866661791581,132.97578186594177,132.97578186594177,2016-01-21,-2.9276792378625087
2016-01-22,409.7510070800781,0.0,0.0,136.986301369863,0.3168866661791581,0.0,1.0,0.3168866661791581,129.84463059715858,129.84463059715858,2016-01-22,-5.213419664074234
2016-01-23,382.4339904785156,0.0,0.0,136.986301369863,0.3168866661791581,0.0,1.0,0.3168866661791581,121.18823227632872,121.18823227632872,2016-01-23,-11.532590438280035
